news_id,model_version,score,user_id,date_str,created_at
01f2a3c47c9d0cc77831f3ccb8abf7c8,openai,3,X6f3sWSZ9kRqPvOaw3vg59K7jPR2,2025-11-03,2025-11-04 10:53:00.352000+00:00
296bc1fb2e51bcc878cec614c7a7dc8a,openai,5,gMPSU5qYkUOWf246yzCnUDQBd6j2,2025-11-03,2025-11-04 08:21:53.782000+00:00
2dc4a05b2471cf1bb55804eb2df13adc,openai,3,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:26:17.772000+00:00
3faa9cfee721745bfaf7ba355513de77,openai,4,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:26:13.385000+00:00
4f116e297d742674b9082f88cf62cee6,openai,3,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:26:22.959000+00:00
5694762d98507d8a8bdeb5a672335e89,openai,2,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:26:36.364000+00:00
615a7ab5b288e678d6ab840ce6edcfdc,openai,5,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:25:11.979000+00:00
787cbcfe749e6c4d43a3ff9e9ec0ea26,openai,3,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:25:30.710000+00:00
8221105d54b8226b87c3685ea94d6493,openai,4,hscSnLQzQhY7CnNCNRKfaJj16WW2,2025-11-11,2025-11-12 06:50:38.927000+00:00
8852087fd8e170545743b308ea193242,openai,1,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:25:38.046000+00:00
8d15bdf92ce28bc6c26fff0b7473846f,openai,4,gMPSU5qYkUOWf246yzCnUDQBd6j2,2025-11-04,2025-11-05 00:48:21.063000+00:00
9c2728958e046ba1fd6eb8b26cf97f3c,openai,3,hscSnLQzQhY7CnNCNRKfaJj16WW2,2025-10-30,2025-10-30 05:52:18.553000+00:00
a3b84abe48fe6e2bcafd5b4aa8b02e9b,openai,4,9cd1YlWfpAbhkDyBJm5hyoDiEXh2,2025-11-04,2025-11-05 05:31:28.275000+00:00
b71b3b104fd99c6eaf08b381d04ce3ae,openai,4,hscSnLQzQhY7CnNCNRKfaJj16WW2,2025-11-02,2025-11-06 03:38:04.486000+00:00
bd02f76ad743fc436160db6e69ba01e0,openai,4,R5Fp1EK3FHbOJeYu9yJyq6wwzON2,2025-11-03,2025-11-04 08:26:34.293000+00:00
d99d5694855d1f7c05da1ce4bda7c126,openai,5,gMPSU5qYkUOWf246yzCnUDQBd6j2,2025-11-03,2025-11-04 08:22:00.658000+00:00
e0a798e413c4a5147ae968e0dad0a0ea,openai,5,gMPSU5qYkUOWf246yzCnUDQBd6j2,2025-11-03,2025-11-04 08:22:52.497000+00:00
